"timestamp_iso","pid","node_cpu_percent","working_set_mb","private_memory_mb","handles","threads"
"2026-08-14T01:25:28.1243478+07:00","3136","0","65.945","65.891","231","16"
"2026-08-14T01:25:29.2050048+07:00","3136","0","65.945","65.891","231","16"
"2026-08-14T01:25:30.2467036+07:00","3136","0","65.945","65.891","231","16"
"2026-08-14T01:25:31.2579086+07:00","3136","0.097","66.07","65.891","232","16"
"2026-08-14T01:25:32.2700482+07:00","3136","0","66.184","66.141","232","16"
"2026-08-14T01:25:33.2847449+07:00","3136","0.289","66.438","66.141","231","16"
"2026-08-14T01:25:34.2989302+07:00","3136","0.096","66.516","66.141","231","16"
"2026-08-14T01:25:35.3188277+07:00","3136","0.766","61.418","58.25","231","16"
"2026-08-14T01:25:36.3318741+07:00","3136","0.096","61.852","58.25","232","16"
"2026-08-14T01:25:37.3419200+07:00","3136","0","62.035","58.25","232","16"
"2026-08-14T01:25:38.3521938+07:00","3136","0.387","62.711","59.645","232","16"
"2026-08-14T01:25:39.3622820+07:00","3136","0.193","62.977","59.648","232","16"
"2026-08-14T01:25:40.3761127+07:00","3136","0.193","62.969","59.355","232","16"
"2026-08-14T01:25:41.3892184+07:00","3136","0.096","63.277","60.266","232","16"
"2026-08-14T01:25:42.4022519+07:00","3136","0.096","63.223","60.375","233","16"
"2026-08-14T01:25:43.4127354+07:00","3136","0.193","63.242","60.383","233","16"
"2026-08-14T01:25:44.4194684+07:00","3136","0.097","63.309","60.383","233","16"
"2026-08-14T01:25:45.4333205+07:00","3136","0.096","63.312","60.383","233","16"
"2026-08-14T01:25:46.4449552+07:00","3136","0","63.316","60.387","233","16"
"2026-08-14T01:25:47.4605920+07:00","3136","0.192","63.668","60.414","233","16"
"2026-08-14T01:25:48.4744427+07:00","3136","0.289","63.496","59.691","234","16"
"2026-08-14T01:25:49.4859716+07:00","3136","0.483","63.582","59.789","234","16"
"2026-08-14T01:25:50.4922223+07:00","3136","0.388","63.73","60.375","234","16"
"2026-08-14T01:25:51.5034677+07:00","3136","0.097","63.805","60.375","234","16"
"2026-08-14T01:25:52.5199409+07:00","3136","0.288","63.941","60.375","234","16"
"2026-08-14T01:25:53.5303219+07:00","3136","0.387","63.973","60.355","234","16"
"2026-08-14T01:25:54.5482415+07:00","3136","0.672","63.895","60.469","235","16"
"2026-08-14T01:25:55.5589090+07:00","3136","0.29","64.16","60.883","235","16"
"2026-08-14T01:25:56.5730561+07:00","3136","0.385","64.172","60.781","235","13"
"2026-08-14T01:25:57.5811585+07:00","3136","0.291","64.238","60.781","235","13"
"2026-08-14T01:25:58.5952040+07:00","3136","0.482","64.328","60.781","235","13"
"2026-08-14T01:25:59.6153093+07:00","3136","0.096","64.488","61.039","235","13"
"2026-08-14T01:26:00.6289854+07:00","3136","0.096","64.57","61.297","236","13"
"2026-08-14T01:26:01.6431454+07:00","3136","0.385","64.664","63.363","236","13"
"2026-08-14T01:26:02.6513832+07:00","3136","0.097","65.246","63.363","236","13"
"2026-08-14T01:26:03.6676862+07:00","3136","0.384","65.547","63.328","236","13"
"2026-08-14T01:26:04.6825553+07:00","3136","0.289","66.07","65.066","236","13"
"2026-08-14T01:26:05.6925592+07:00","3136","0.29","65.898","63.676","236","13"
"2026-08-14T01:26:06.7078751+07:00","3136","0.481","65.988","63.945","237","13"
"2026-08-14T01:26:07.7215045+07:00","3136","0.193","65.996","64.203","237","13"
"2026-08-14T01:26:08.7295342+07:00","3136","0.388","66.074","64.203","238","13"
"2026-08-14T01:26:09.7468635+07:00","3136","0.48","66.969","64.688","237","13"
"2026-08-14T01:26:10.7610878+07:00","3136","0.289","67.352","64.711","237","13"
