"timestamp_iso","pid","node_cpu_percent","working_set_mb","private_memory_mb","handles","threads"
"2026-08-14T01:02:50.8217326+07:00","3232","0","65.93","65.656","231","16"
"2026-08-14T01:02:51.8945106+07:00","3232","0","65.93","65.656","231","16"
"2026-08-14T01:02:52.9379798+07:00","3232","0","65.93","65.656","231","16"
"2026-08-14T01:02:53.9522576+07:00","3232","0","66.105","65.656","232","16"
"2026-08-14T01:02:54.9626382+07:00","3232","0.097","66.402","65.91","233","16"
"2026-08-14T01:02:55.9681486+07:00","3232","0","66.625","65.91","232","16"
"2026-08-14T01:02:56.9860077+07:00","3232","0.288","67.379","65.91","233","16"
"2026-08-14T01:02:57.9946670+07:00","3232","0.097","62.938","59.215","233","16"
"2026-08-14T01:02:59.0062200+07:00","3232","0.386","62.211","59.352","234","16"
"2026-08-14T01:03:00.0190764+07:00","3232","0.193","62.777","60.527","234","16"
"2026-08-14T01:03:01.0304110+07:00","3232","0.386","63.238","60.578","235","16"
"2026-08-14T01:03:02.0427481+07:00","3232","0.386","63.289","60.582","235","16"
"2026-08-14T01:03:03.0550143+07:00","3232","0.193","63.527","60.582","236","16"
"2026-08-14T01:03:04.0664924+07:00","3232","0.676","63.66","60.598","236","16"
"2026-08-14T01:03:05.0795799+07:00","3232","0.386","63.785","60.598","237","16"
"2026-08-14T01:03:06.0876473+07:00","3232","0.291","63.789","60.602","237","16"
"2026-08-14T01:03:07.0983055+07:00","3232","0.676","64.023","62.926","238","16"
"2026-08-14T01:03:08.1087820+07:00","3232","0.58","64.914","63.184","238","16"
"2026-08-14T01:03:09.1269111+07:00","3232","0.48","65.879","63.188","239","16"
"2026-08-14T01:03:10.1402146+07:00","3232","0.193","66.07","63.449","239","16"
"2026-08-14T01:03:11.1530075+07:00","3232","0.386","66.312","63.449","240","16"
"2026-08-14T01:03:12.1647399+07:00","3232","0.772","66.496","63.453","240","16"
"2026-08-14T01:03:13.1720640+07:00","3232","0.679","66.348","63.691","241","16"
"2026-08-14T01:03:14.1802971+07:00","3232","0.387","67.035","64.637","241","16"
"2026-08-14T01:03:15.1901706+07:00","3232","0.967","67.488","65.012","242","16"
"2026-08-14T01:03:16.2006319+07:00","3232","0.097","67.781","69.402","242","16"
"2026-08-14T01:03:17.2133493+07:00","3232","0.771","68.684","69.402","243","16"
"2026-08-14T01:03:18.2249056+07:00","3232","0.869","69.707","69.176","243","16"
"2026-08-14T01:03:19.2381416+07:00","3232","0.289","71.324","70.125","244","13"
"2026-08-14T01:03:20.2524907+07:00","3232","0.77","71.574","70.125","244","13"
"2026-08-14T01:03:21.2692387+07:00","3232","0.864","71.574","70.125","245","13"
"2026-08-14T01:03:22.2818505+07:00","3232","0.675","71.762","70.125","245","13"
"2026-08-14T01:03:23.2943286+07:00","3232","1.061","71.957","70.641","245","13"
"2026-08-14T01:03:24.3096724+07:00","3232","0.481","72.105","70.641","245","13"
"2026-08-14T01:03:25.3226940+07:00","3232","0.578","72.25","70.875","245","13"
"2026-08-14T01:03:26.3427794+07:00","3232","0.67","72.535","70.875","245","13"
"2026-08-14T01:03:27.3533968+07:00","3232","0.773","72.418","71.332","245","13"
"2026-08-14T01:03:28.3648556+07:00","3232","0.676","72.906","71.664","245","13"
"2026-08-14T01:03:29.3788117+07:00","3232","0.77","72.906","71.664","245","13"
"2026-08-14T01:03:30.3929209+07:00","3232","0.77","73.789","80.488","245","13"
"2026-08-14T01:03:31.4000451+07:00","3232","0.97","74.484","79.891","245","13"
"2026-08-14T01:03:32.4162702+07:00","3232","0.577","76.637","80.816","245","13"
"2026-08-14T01:03:33.4271995+07:00","3232","0.773","76.754","80.84","245","13"
"2026-08-14T01:03:34.4414453+07:00","3232","1.252","78.812","80.77","245","13"
"2026-08-14T01:03:35.4572980+07:00","3232","0.577","80.176","80.84","245","13"
"2026-08-14T01:03:36.4729534+07:00","3232","0.865","80.188","80.84","245","13"
"2026-08-14T01:03:37.4841270+07:00","3232","0.483","80.191","80.84","245","13"
"2026-08-14T01:03:38.4983635+07:00","3232","0.77","79.742","79.832","245","13"
"2026-08-14T01:03:39.5080319+07:00","3232","0.677","79.836","80.789","245","13"
"2026-08-14T01:03:40.5207525+07:00","3232","0.482","79.996","80.793","245","13"
"2026-08-14T01:03:41.5276060+07:00","3232","0.679","80.004","80.801","245","13"
"2026-08-14T01:03:42.5403163+07:00","3232","0.482","80.02","80.816","245","13"
"2026-08-14T01:03:43.5613903+07:00","3232","0.765","80","80.773","245","13"
"2026-08-14T01:03:44.5719778+07:00","3232","0.58","80.016","80.789","245","13"
"2026-08-14T01:03:45.5938345+07:00","3232","0.765","80.078","80.816","245","13"
"2026-08-14T01:03:46.6096658+07:00","3232","0.865","80.043","79.922","245","13"
"2026-08-14T01:03:47.6179060+07:00","3232","0.969","80.188","80.035","245","13"
"2026-08-14T01:03:48.6295872+07:00","3232","0.579","80.25","80.082","245","13"
"2026-08-14T01:03:49.6451277+07:00","3232","0.769","80.352","80.16","245","13"
"2026-08-14T01:03:50.6547490+07:00","3232","0.774","80.352","80.16","245","13"
"2026-08-14T01:03:51.6674245+07:00","3232","0.675","80.113","80.199","245","13"
"2026-08-14T01:03:52.6795937+07:00","3232","0.579","80.129","80.211","245","13"
"2026-08-14T01:03:53.6942636+07:00","3232","0.77","80.238","80.426","245","13"
"2026-08-14T01:03:54.7093183+07:00","3232","0.962","80.547","80.461","245","13"
"2026-08-14T01:03:55.7171941+07:00","3232","0.775","80.223","80.023","246","13"
