"timestamp_iso","pid","node_cpu_percent","working_set_mb","private_memory_mb","handles","threads"
"2026-08-14T01:08:52.9270877+07:00","12796","0","65.957","65.688","231","16"
"2026-08-14T01:08:54.0173770+07:00","12796","0","65.957","65.688","231","16"
"2026-08-14T01:08:55.0657501+07:00","12796","0.186","66.074","65.688","233","16"
"2026-08-14T01:08:56.0803387+07:00","12796","0.578","67.703","65.938","234","16"
"2026-08-14T01:08:57.0976532+07:00","12796","0.576","68.293","67.66","235","16"
"2026-08-14T01:08:58.1119655+07:00","12796","1.444","68.48","67.91","235","16"
"2026-08-14T01:08:59.1316735+07:00","12796","1.437","68.766","67.457","237","16"
"2026-08-14T01:09:00.1521510+07:00","12796","1.818","68.988","67.465","237","16"
"2026-08-14T01:09:01.1629876+07:00","12796","1.932","71.035","69.086","238","16"
"2026-08-14T01:09:02.1773500+07:00","12796","2.022","72.379","70.941","239","16"
"2026-08-14T01:09:03.1916264+07:00","12796","2.214","72.785","70.574","241","16"
"2026-08-14T01:09:04.2025019+07:00","12796","1.836","73.332","71.098","240","16"
"2026-08-14T01:09:05.2139241+07:00","12796","2.993","73.734","79.734","240","16"
"2026-08-14T01:09:06.2240202+07:00","12796","2.514","77.559","80.477","241","16"
"2026-08-14T01:09:07.2369865+07:00","12796","2.217","79.496","79.719","240","16"
"2026-08-14T01:09:08.2496866+07:00","12796","2.893","79.848","80.047","240","16"
"2026-08-14T01:09:09.2628804+07:00","12796","1.446","79.629","80.043","241","16"
"2026-08-14T01:09:10.2757777+07:00","12796","2.121","79.453","79.473","240","16"
"2026-08-14T01:09:11.2863348+07:00","12796","2.319","80.086","81.145","241","16"
"2026-08-14T01:09:12.2933174+07:00","12796","1.649","79.977","80.102","240","16"
"2026-08-14T01:09:13.3014814+07:00","12796","1.744","69.562","67.934","240","16"
"2026-08-14T01:09:14.3165516+07:00","12796","3.367","66.582","64.102","240","16"
"2026-08-14T01:09:15.3310450+07:00","12796","2.888","67.883","64.934","241","16"
"2026-08-14T01:09:16.3450613+07:00","12796","2.022","69.059","69.922","241","16"
"2026-08-14T01:09:17.3541659+07:00","12796","3","72.129","70.953","240","16"
"2026-08-14T01:09:18.3702318+07:00","12796","3.076","72.473","70.668","240","16"
"2026-08-14T01:09:19.3880117+07:00","12796","2.111","73","71.777","240","16"
"2026-08-14T01:09:20.4041678+07:00","12796","2.595","74.02","80.035","240","16"
"2026-08-14T01:09:21.4201325+07:00","12796","2.019","76.754","79.465","241","13"
"2026-08-14T01:09:22.4299646+07:00","12796","2.224","80","79.852","240","13"
"2026-08-14T01:09:23.4405205+07:00","12796","2.802","79.918","79.75","241","13"
"2026-08-14T01:09:24.4475420+07:00","12796","2.036","80.27","80.105","240","13"
"2026-08-14T01:09:25.4612947+07:00","12796","2.216","80.035","79.621","241","13"
"2026-08-14T01:09:26.4749440+07:00","12796","2.216","80.203","79.797","240","13"
"2026-08-14T01:09:27.4847729+07:00","12796","2.224","80.531","80.164","241","13"
"2026-08-14T01:09:28.4972457+07:00","12796","2.701","80.883","80.836","241","13"
"2026-08-14T01:09:29.5160968+07:00","12796","1.821","81.621","97.594","241","13"
"2026-08-14T01:09:30.5380553+07:00","12796","2.102","87.805","97.594","240","13"
"2026-08-14T01:09:31.5483157+07:00","12796","2.03","88.281","97.512","241","13"
"2026-08-14T01:09:32.5661427+07:00","12796","1.919","94.25","98.305","240","13"
"2026-08-14T01:09:33.5746249+07:00","12796","1.937","94.152","97.535","241","13"
"2026-08-14T01:09:34.5881389+07:00","12796","2.409","94.523","97.875","241","13"
"2026-08-14T01:09:35.6026257+07:00","12796","2.792","94.555","97.879","240","13"
"2026-08-14T01:09:36.6227501+07:00","12796","2.968","93.934","97.074","241","13"
"2026-08-14T01:09:37.6327598+07:00","12796","2.707","94.383","98.367","241","13"
"2026-08-14T01:09:38.6442911+07:00","12796","1.931","94.609","98.453","241","13"
"2026-08-14T01:09:39.6581658+07:00","12796","1.926","94.703","98.465","240","13"
"2026-08-14T01:09:40.6733588+07:00","12796","1.443","95.375","99.766","241","13"
"2026-08-14T01:09:41.6858265+07:00","12796","1.447","95.422","99.766","240","13"
"2026-08-14T01:09:42.7012262+07:00","12796","2.693","96.578","100.797","240","13"
"2026-08-14T01:09:43.7131376+07:00","12796","2.027","96.594","100.797","241","13"
"2026-08-14T01:09:44.7207114+07:00","12796","2.326","97.91","101.32","241","13"
"2026-08-14T01:09:45.7344998+07:00","12796","2.216","99.426","136.156","241","13"
"2026-08-14T01:09:46.7502391+07:00","12796","2.404","99.508","136.199","240","13"
"2026-08-14T01:09:47.7632371+07:00","12796","1.446","100.523","136.496","240","13"
"2026-08-14T01:09:48.7727631+07:00","12796","2.515","107.203","136.664","240","13"
"2026-08-14T01:09:49.7821353+07:00","12796","2.806","112.586","136.391","241","13"
"2026-08-14T01:09:50.7921932+07:00","12796","2.61","113.367","138.16","240","13"
"2026-08-14T01:09:51.8023165+07:00","12796","2.32","115.43","136.559","240","13"
"2026-08-14T01:09:52.8156710+07:00","12796","1.831","121.336","136.82","241","13"
"2026-08-14T01:09:53.8231961+07:00","12796","2.035","125.312","136.77","241","13"
"2026-08-14T01:09:54.8329986+07:00","12796","1.741","125.469","137.141","241","13"
"2026-08-14T01:09:55.8468680+07:00","12796","2.119","125.805","137.148","240","13"
"2026-08-14T01:09:56.8601867+07:00","12796","2.988","125.844","137.168","241","13"
"2026-08-14T01:09:57.8733103+07:00","12796","2.313","125.465","136.91","240","13"
"2026-08-14T01:09:58.8865423+07:00","12796","2.024","125.492","136.941","241","13"
"2026-08-14T01:09:59.9036489+07:00","12796","2.208","125.738","137.379","241","13"
"2026-08-14T01:10:00.9145377+07:00","12796","1.739","125.809","137.379","240","13"
"2026-08-14T01:10:01.9287442+07:00","12796","2.118","125.473","136.926","241","13"
"2026-08-14T01:10:02.9413393+07:00","12796","1.64","125.812","137.289","240","13"
"2026-08-14T01:10:03.9512896+07:00","12796","2.031","125.824","137.301","240","13"
"2026-08-14T01:10:04.9617082+07:00","12796","2.513","125.848","137.309","240","13"
"2026-08-14T01:10:05.9768672+07:00","12796","2.02","126","137.613","240","13"
"2026-08-14T01:10:06.9897990+07:00","12796","2.699","125.508","137.285","241","13"
"2026-08-14T01:10:08.0036000+07:00","12796","1.927","125.809","137.559","241","13"
"2026-08-14T01:10:09.0150224+07:00","12796","3.379","125.855","137.566","241","13"
"2026-08-14T01:10:10.0275027+07:00","12796","2.315","125.996","137.594","241","13"
"2026-08-14T01:10:11.0430189+07:00","12796","2.885","125.984","137.57","240","13"
"2026-08-14T01:10:12.0598449+07:00","12796","2.017","125.531","137.242","241","13"
"2026-08-14T01:10:13.0690473+07:00","12796","2.322","125.582","137.266","241","13"
"2026-08-14T01:10:14.0819268+07:00","12796","2.507","125.91","137.828","241","13"
"2026-08-14T01:10:15.0963312+07:00","12796","1.252","125.547","136.945","241","13"
"2026-08-14T01:10:16.1063312+07:00","12796","2.03","125.805","136.949","240","13"
"2026-08-14T01:10:17.1206334+07:00","12796","2.214","125.613","136.711","241","13"
"2026-08-14T01:10:18.1415686+07:00","12796","2.487","125.789","136.844","240","13"
"2026-08-14T01:10:19.1575551+07:00","12796","2.787","125.496","136.848","241","13"
"2026-08-14T01:10:20.1734164+07:00","12796","1.826","125.727","137.164","241","13"
"2026-08-14T01:10:21.1936292+07:00","12796","1.819","125.949","137.348","240","13"
"2026-08-14T01:10:22.2026683+07:00","12796","2.903","125.828","137.996","240","13"
"2026-08-14T01:10:23.2137235+07:00","12796","2.511","125.57","137.289","240","13"
"2026-08-14T01:10:24.2256358+07:00","12796","1.641","125.625","137.355","240","13"
"2026-08-14T01:10:25.2387364+07:00","12796","2.41","125.734","137.422","240","13"
"2026-08-14T01:10:26.2504971+07:00","12796","2.123","126.008","137.695","241","13"
"2026-08-14T01:10:27.2668732+07:00","12796","2.21","126.133","137.766","240","13"
"2026-08-14T01:10:28.2766448+07:00","12796","1.838","125.5","137.32","240","13"
"2026-08-14T01:10:29.2902046+07:00","12796","2.312","125.648","137.496","241","13"
"2026-08-14T01:10:30.3083975+07:00","12796","2.59","125.711","137.516","241","13"
"2026-08-14T01:10:31.3250792+07:00","12796","1.825","125.938","137.711","240","13"
"2026-08-14T01:10:32.3436093+07:00","12796","1.534","125.598","137.348","240","13"
"2026-08-14T01:10:33.3548159+07:00","12796","1.835","125.688","137.441","240","13"
"2026-08-14T01:10:34.3641981+07:00","12796","1.935","125.797","137.512","240","13"
"2026-08-14T01:10:35.3808636+07:00","12796","1.921","126.074","138.066","241","13"
"2026-08-14T01:10:36.3919913+07:00","12796","2.221","125.441","136.57","240","13"
"2026-08-14T01:10:37.4006577+07:00","12796","1.936","125.477","136.605","240","13"
"2026-08-14T01:10:38.4134876+07:00","12796","2.025","125.723","136.832","241","13"
"2026-08-14T01:10:39.4274357+07:00","12796","2.504","126.426","137.422","240","13"
"2026-08-14T01:10:40.4386393+07:00","12796","2.125","126.734","137.676","241","13"
"2026-08-14T01:10:41.4456967+07:00","12796","2.036","126.418","137.398","240","13"
"2026-08-14T01:10:42.4569155+07:00","12796","1.642","126.68","137.68","241","13"
"2026-08-14T01:10:43.4773544+07:00","12796","2.01","126.695","137.68","240","13"
"2026-08-14T01:10:44.4905222+07:00","12796","2.313","126.465","138.82","241","13"
"2026-08-14T01:10:45.5045080+07:00","12796","2.6","125.871","137.191","241","13"
"2026-08-14T01:10:46.5199617+07:00","12796","1.635","126.363","137.527","241","13"
"2026-08-14T01:10:47.5282626+07:00","12796","2.131","126.391","137.539","240","13"
"2026-08-14T01:10:48.5391042+07:00","12796","2.415","126.418","137.551","241","13"
"2026-08-14T01:10:49.5515123+07:00","12796","0.868","125.824","137.66","241","13"
"2026-08-14T01:10:50.5643005+07:00","12796","1.832","125.867","137.703","241","13"
"2026-08-14T01:10:51.5783700+07:00","12796","1.637","125.91","137.742","241","13"
"2026-08-14T01:10:52.5867789+07:00","12796","2.034","126.051","137.934","241","13"
"2026-08-14T01:10:53.5968556+07:00","12796","2.997","126.156","138.227","240","13"
"2026-08-14T01:10:54.6110628+07:00","12796","2.311","126.168","138.238","242","13"
"2026-08-14T01:10:55.6211665+07:00","12796","3.48","126.266","138.336","242","13"
"2026-08-14T01:10:56.6326307+07:00","12796","3.186","126.789","138.883","243","13"
"2026-08-14T01:10:57.6470259+07:00","12796","2.407","126.047","137.348","244","13"
"2026-08-14T01:10:58.6571487+07:00","12796","3.287","125.965","137.105","245","13"
"2026-08-14T01:10:59.6641671+07:00","12796","2.521","126.121","137.203","247","13"
"2026-08-14T01:11:00.6761225+07:00","12796","2.606","125.758","137.016","248","13"
"2026-08-14T01:11:01.6911020+07:00","12796","2.983","125.98","137.227","249","13"
"2026-08-14T01:11:02.7105405+07:00","12796","3.065","126.297","137.406","249","13"
"2026-08-14T01:11:03.7215082+07:00","12796","2.801","126.16","137.703","251","13"
"2026-08-14T01:11:04.7358900+07:00","12796","3.273","126.34","137.848","251","13"
"2026-08-14T01:11:05.7551693+07:00","12796","3.162","126.977","138.418","251","12"
"2026-08-14T01:11:06.7664730+07:00","12796","3.766","125.93","136.953","250","12"
"2026-08-14T01:11:07.7817024+07:00","12796","2.116","126.137","137.207","250","12"
"2026-08-14T01:11:08.7906772+07:00","12796","3.388","126.281","137.438","251","12"
"2026-08-14T01:11:09.8058113+07:00","12796","3.078","126.344","137.477","251","12"
"2026-08-14T01:11:10.8198803+07:00","12796","2.889","126.582","137.676","251","12"
"2026-08-14T01:11:11.8352644+07:00","12796","2.885","126.348","137.641","251","12"
"2026-08-14T01:11:12.8509219+07:00","12796","3.173","126.461","137.707","250","12"
"2026-08-14T01:11:13.8581281+07:00","12796","3.781","126.809","138.18","251","12"
"2026-08-14T01:11:14.8698362+07:00","12796","2.703","126.363","137.586","251","12"
