"timestamp_iso","pid","node_cpu_percent","working_set_mb","private_memory_mb","handles","threads"
"2026-08-14T01:17:51.2095514+07:00","26172","0","65.883","65.336","231","16"
"2026-08-14T01:17:52.2824341+07:00","26172","0","65.883","65.336","231","16"
"2026-08-14T01:17:53.3421841+07:00","26172","0","65.883","65.336","231","16"
"2026-08-14T01:17:54.3498056+07:00","26172","0","66.012","65.336","232","16"
"2026-08-14T01:17:55.3643578+07:00","26172","0.096","66.66","65.586","233","16"
"2026-08-14T01:17:56.3798535+07:00","26172","0.385","67.973","66.91","232","16"
"2026-08-14T01:17:57.3942243+07:00","26172","0.481","68.445","67.363","233","16"
"2026-08-14T01:17:58.4079860+07:00","26172","0.578","68.402","67.863","233","16"
"2026-08-14T01:17:59.4241084+07:00","26172","0.769","68.758","67.875","234","16"
"2026-08-14T01:18:00.4424478+07:00","26172","0.767","68.793","67.883","234","16"
"2026-08-14T01:18:01.4589874+07:00","26172","1.057","68.879","67.887","235","16"
"2026-08-14T01:18:02.4797086+07:00","26172","0.861","68.977","67.887","235","16"
"2026-08-14T01:18:03.4930564+07:00","26172","1.446","69.207","67.891","236","16"
"2026-08-14T01:18:04.5064494+07:00","26172","0.964","64.281","60.902","236","16"
"2026-08-14T01:18:05.5165048+07:00","26172","1.644","63.992","60.492","237","16"
"2026-08-14T01:18:06.5286206+07:00","26172","1.447","64.523","63.129","238","16"
"2026-08-14T01:18:07.5434605+07:00","26172","1.251","66.496","64.309","239","16"
"2026-08-14T01:18:08.5564411+07:00","26172","1.253","66.379","64.539","239","16"
"2026-08-14T01:18:09.5789013+07:00","26172","1.624","66.945","65.266","239","16"
"2026-08-14T01:18:10.5918148+07:00","26172","1.35","68.215","69.098","239","16"
"2026-08-14T01:18:11.6017034+07:00","26172","1.547","71.438","71.062","240","16"
"2026-08-14T01:18:12.6155194+07:00","26172","1.445","71.547","70.66","240","16"
"2026-08-14T01:18:13.6332977+07:00","26172","1.343","72.191","70.922","240","16"
"2026-08-14T01:18:14.6471718+07:00","26172","1.734","72.234","71.188","240","16"
"2026-08-14T01:18:15.6547533+07:00","26172","1.066","73.012","72.117","240","16"
"2026-08-14T01:18:16.6671441+07:00","26172","1.158","73.648","80.961","240","16"
"2026-08-14T01:18:17.6767994+07:00","26172","1.548","75.52","82.062","240","16"
"2026-08-14T01:18:18.6940242+07:00","26172","1.44","77.418","81.375","241","16"
"2026-08-14T01:18:19.7014798+07:00","26172","1.939","80.031","81.348","240","13"
"2026-08-14T01:18:20.7160838+07:00","26172","1.444","80.375","81.746","240","13"
"2026-08-14T01:18:21.7274982+07:00","26172","1.255","80.375","81.746","240","13"
"2026-08-14T01:18:22.7410054+07:00","26172","1.638","80.465","81.746","240","13"
"2026-08-14T01:18:23.7538468+07:00","26172","1.157","80.5","81.746","240","13"
"2026-08-14T01:18:24.7675915+07:00","26172","1.734","80.312","82.434","240","13"
"2026-08-14T01:18:25.7810720+07:00","26172","2.12","80.359","82.434","240","13"
"2026-08-14T01:18:26.7979716+07:00","26172","1.825","80.359","82.434","240","13"
"2026-08-14T01:18:27.8097051+07:00","26172","1.351","80.41","80.98","241","13"
"2026-08-14T01:18:28.8259378+07:00","26172","1.441","81.059","82.004","241","13"
"2026-08-14T01:18:29.8420091+07:00","26172","1.73","81.07","82.004","241","13"
"2026-08-14T01:18:30.8574995+07:00","26172","2.404","82.059","99.027","241","13"
"2026-08-14T01:18:31.8684952+07:00","26172","1.642","84.254","99.027","240","13"
"2026-08-14T01:18:32.8846702+07:00","26172","1.922","88.121","98.75","241","13"
"2026-08-14T01:18:33.8962840+07:00","26172","1.158","88.297","99.574","240","13"
"2026-08-14T01:18:34.9082279+07:00","26172","1.737","92.371","99.691","240","13"
"2026-08-14T01:18:35.9227294+07:00","26172","1.733","94.828","99.719","241","13"
"2026-08-14T01:18:36.9390634+07:00","26172","2.114","94.5","98.934","240","13"
"2026-08-14T01:18:37.9562060+07:00","26172","1.344","94.508","98.941","241","13"
"2026-08-14T01:18:38.9688098+07:00","26172","1.447","94.32","98.82","240","13"
"2026-08-14T01:18:39.9850746+07:00","26172","1.634","94.555","98.887","241","13"
"2026-08-14T01:18:40.9978681+07:00","26172","1.736","94.656","98.707","240","13"
"2026-08-14T01:18:42.0172494+07:00","26172","1.724","95.094","99.68","240","13"
"2026-08-14T01:18:43.0330538+07:00","26172","1.538","94.637","98.656","240","13"
"2026-08-14T01:18:44.0466416+07:00","26172","1.638","95.566","100.316","240","13"
"2026-08-14T01:18:45.0587494+07:00","26172","1.93","95.59","100.332","240","13"
"2026-08-14T01:18:46.0703645+07:00","26172","1.255","95.254","99.559","241","13"
"2026-08-14T01:18:47.0793426+07:00","26172","0.871","95.691","100.418","240","13"
"2026-08-14T01:18:48.0918763+07:00","26172","1.447","95.508","100.367","241","13"
"2026-08-14T01:18:49.1121677+07:00","26172","1.053","95.559","100.41","240","13"
"2026-08-14T01:18:50.1217405+07:00","26172","1.354","96.379","101.211","240","13"
"2026-08-14T01:18:51.1399811+07:00","26172","1.343","96.426","101.258","240","13"
"2026-08-14T01:18:52.1514436+07:00","26172","1.545","96.449","101.273","241","13"
"2026-08-14T01:18:53.1625725+07:00","26172","2.221","97.539","101.879","240","13"
"2026-08-14T01:18:54.1705476+07:00","26172","1.356","97.82","102.449","240","13"
"2026-08-14T01:18:55.1786467+07:00","26172","1.55","98","102.449","240","13"
"2026-08-14T01:18:56.1919511+07:00","26172","1.253","99.883","136.215","240","13"
"2026-08-14T01:18:57.2050157+07:00","26172","2.024","99.57","135.789","240","13"
"2026-08-14T01:18:58.2185788+07:00","26172","1.638","99.914","136.227","240","13"
"2026-08-14T01:18:59.2449296+07:00","26172","1.522","103.434","136.27","241","13"
"2026-08-14T01:19:00.2509834+07:00","26172","1.165","108.219","136.777","240","13"
"2026-08-14T01:19:01.2657709+07:00","26172","1.54","112.5","136.84","241","13"
"2026-08-14T01:19:02.2792433+07:00","26172","1.445","112.863","137.035","241","13"
"2026-08-14T01:19:03.2939561+07:00","26172","1.54","112.898","137.059","240","13"
"2026-08-14T01:19:04.3094883+07:00","26172","1.154","114.117","137.266","241","13"
"2026-08-14T01:19:05.3280974+07:00","26172","1.15","118.609","137.387","241","13"
"2026-08-14T01:19:06.3365688+07:00","26172","1.065","122.637","136.984","241","13"
"2026-08-14T01:19:07.3485245+07:00","26172","0.965","125.402","136.973","240","13"
"2026-08-14T01:19:08.3631372+07:00","26172","1.829","125.598","137.207","241","13"
